country,iso_a3,population_2020,point_exposed_population_100km,point_exposed_share_of_country,point_exposed_cells_100km,admin_exposed_population,admin_exposed_share_of_country,admin_exposed_cells,union_exposed_population,union_exposed_share_of_country,union_exposed_cells,case_records_total,case_count_total,point_surface_records,point_surface_count,point_unique_locations,admin_candidate_records,admin_candidate_count,admin_matched_records,admin_matched_count,admin_unmatched_records,admin_ambiguous_records,admin_unique_labels,admin_matched_labels,records_not_surfaced,mean_confidence,sources,created_at_utc,exposure_json_sha256,case_panel_sha256,locations_csv_sha256,admin_matches_csv_sha256,point_surface_sha256,admin_surface_sha256,country_boundaries_sha256
China,CHN,1418159303.7866898,104908299.86985534,0.07397497558259855,263992.0,1047779727.7230619,0.7388307681128199,7176188.0,1050795489.0943754,0.740957300275505,7187306.0,2581.0,2581.0,41.0,41.0,11.0,570.0,570.0,478.0,478.0,92.0,0.0,44.0,27.0,2062.0,0.3603254552499031,"genbank_biosample,genbank_nuccore",2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Indonesia,IDN,241471700.8222314,66064400.96898611,0.27359065573328584,37166.0,5298.536010487005,2.1942678965879004e-05,1247.0,66069699.5049966,0.2736125984122517,38413.0,33.0,33.0,2.0,2.0,2.0,30.0,30.0,0.0,0.0,30.0,0.0,2.0,0.0,31.0,0.3893939393939394,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Russia,RUS,146789691.32765082,33006164.971608724,0.22485342583039647,515548.0,47762807.4542217,0.3253825730010552,6143216.0,73075752.19229975,0.4978261860990401,6370056.0,966.0,966.0,122.0,122.0,45.0,717.0,717.0,604.0,604.0,68.0,45.0,61.0,40.0,240.0,0.4320910973084886,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Mexico,MEX,123709314.92427325,31116838.87149347,0.2515318987138613,102702.0,31205638.655350138,0.25224970871799096,424633.0,59314288.1502014,0.47946501188297524,490844.0,97.0,97.0,56.0,56.0,9.0,35.0,35.0,31.0,31.0,0.0,4.0,7.0,6.0,10.0,0.7252577319587629,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
South Korea,KOR,49719093.88497974,26328366.06325489,0.5295423549786122,22650.0,485205.88634518045,0.009758944671591498,132.0,26813571.94960007,0.5393012996502037,22782.0,646.0,646.0,30.0,30.0,2.0,89.0,89.0,35.0,35.0,54.0,0.0,16.0,3.0,581.0,0.3801857585139319,"genbank_biosample,genbank_nuccore",2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Germany,DEU,82875766.47137284,18554461.879636224,0.22388283897254035,92296.0,40561629.5925621,0.48942690148842244,132576.0,49395833.35332371,0.5960226427635652,190193.0,1372.0,1372.0,7.0,7.0,4.0,397.0,397.0,206.0,206.0,191.0,0.0,26.0,4.0,1159.0,0.3533163265306122,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Czechia,CZE,10734136.11677567,7859196.8513301965,0.732168547690352,53885.0,197983.67938366067,0.01844430490072183,1962.0,7993489.567800601,0.7446793557339101,54756.0,205.0,205.0,1.0,1.0,1.0,42.0,42.0,0.0,0.0,42.0,0.0,10.0,0.0,204.0,0.35317073170731705,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Madagascar,MDG,27014397.880385794,7550101.744873478,0.27948436157280937,48304.0,0.0,0.0,0.0,7550101.744873478,0.27948436157280937,48304.0,92.0,92.0,17.0,17.0,2.0,75.0,75.0,0.0,0.0,75.0,0.0,1.0,0.0,75.0,0.4701086956521739,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Switzerland,CHE,8508272.563503046,6602242.600643483,0.7759792074556192,24617.0,215553.8547250611,0.025334620290574327,771.0,6618628.494263071,0.777905085299481,24889.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.41500000000000004,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
Cambodia,KHM,16231476.40346764,6504965.426232101,0.40076239921356765,19580.0,2004971.3358955667,0.12352365774115479,395.0,6504965.426232101,0.40076239921356765,19580.0,27.0,27.0,2.0,2.0,1.0,24.0,24.0,24.0,24.0,0.0,0.0,1.0,1.0,1.0,0.39814814814814814,genbank_nuccore,2026-05-14T20:06:33Z,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,e56c94395e212c577036af0c3acea5e2b4c4c1b9b18cf35c56c534a38c612656,157e568c1214c031894fa0cb1f540966b0bd59e4df9f629778a6bfd2e725ee09,7599fd9b747484d48a7d6a5d7c770a93aff83e95a7f4f864af32559c7441492f,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,0f243aeac8ac6cf26f0417285b0bd33ac47f1b5bdb719fd3e0df37d03ea37110
