variant,tier,allowed_smod_classes,total_population_in_variant,share_of_global_population_in_variant,exposed_population,exposed_cells,share_of_global_population,share_of_variant_population,delta_from_all_population,delta_pct_from_all_population,source_exposure_json_sha256,population_raster_sha256,settlement_raster_sha256,point_surface_sha256,admin_surface_sha256,created_at_utc
all_population,point_supported_100km,,7840952947.013645,1.0,358844368.12507915,2178451,0.04576540256650193,0.04576540256650193,,,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
all_population,admin_supported,,7840952947.013645,1.0,1459983069.2798183,22634867,0.18619969781043982,0.18619969781043982,,,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
all_population,union,,7840952947.013645,1.0,1687407067.8120742,24061530,0.21520433539328288,0.21520433539328288,,,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
population_settlement,point_supported_100km,"11,12,13,21,22,23,30",7840952947.013645,1.0,358844368.12507915,1960789,0.04576540256650193,0.04576540256650193,0.0,0.0,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
population_settlement,admin_supported,"11,12,13,21,22,23,30",7840952947.013645,1.0,1459983069.2798185,22262386,0.18619969781043985,0.18619969781043985,2.384185791015625e-07,1.6330229036092166e-16,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
population_settlement,union,"11,12,13,21,22,23,30",7840952947.013645,1.0,1687407067.8120744,23478838,0.2152043353932829,0.2152043353932829,2.384185791015625e-07,1.4129286504097723e-16,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
urban,point_supported_100km,"21,22,23,30",6256544833.781177,0.7979316896888259,312517839.7199062,121198,0.03985712474386595,0.049950547470309484,-46326528.405172944,-0.129099221055701,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
urban,admin_supported,"21,22,23,30",6256544833.781177,0.7979316896888259,1192360725.3175256,647177,0.1520683433984457,0.19057814768297857,-267622343.96229267,-0.18330510099292155,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
urban,union,"21,22,23,30",6256544833.781177,0.7979316896888259,1389869620.2645624,719477,0.17725774273316064,0.22214651332156876,-297537447.5475118,-0.17632819799273736,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
rural,point_supported_100km,"11,12,13",1584408113.2324746,0.2020683103111749,46326528.40517282,1839591,0.005908277822635963,0.029239012359422,-312517839.71990633,-0.8709007789442993,624b94488266d3215f02635aa4a8c389118991810bfacb2806a1b71e6f1722f9,db25d12ab0851446af467a56eb1651d383867dc3fbf4aa6348ec8e3372225196,1e2d7d7a6994b0458fc5d6ff985fb872f27841162b1808a3d52e32ae1a4953a0,19352cd97aa1be8f5964222ec8623460119c66faad066b94d8177d9a5d80502e,47d8070d5f0772bfbb329edf796a10e4fd914d1e31d953e0d824f8c1978c644d,2026-05-18T13:59:17Z
