country,admin1,normalized_country,normalized_admin1,records,count,evidence_weight,first_date,last_date,sources,matched,match_status,match_key,matched_name,matched_name_en,iso_3166_2,adm1_code,boundary_index
Argentina,Buenos Aires,argentina,buenos aires,20,20,7.0,1983-07-01,2018-07-01,genbank_nuccore,False,ambiguous,buenos aires,,,,,
Argentina,Buenos Aires province,argentina,buenos aires province,2,2,0.7,2020-11-15,2020-11-15,genbank_nuccore,False,ambiguous,buenos aires,,,,,
Argentina,Entre Rios,argentina,entre rios,1,1,0.35,2019-07-01,2019-07-01,genbank_nuccore,True,matched,entre rios,Entre Ríos,Entre Ríos,AR-E,ARG-1309,0.0
Argentina,Guachipas,argentina,guachipas,1,1,0.35,2024-07-01,2024-07-01,genbank_nuccore,False,unmatched,,,,,,
Argentina,Salta,argentina,salta,3,3,1.0499999999999998,2014-01-15,2014-01-15,genbank_nuccore,True,matched,salta,Salta,Salta,AR-A,ARG-1303,11.0
Argentina,Tucuman,argentina,tucuman,1,1,0.35,2021-07-01,2021-07-01,genbank_nuccore,True,matched,tucuman,Tucumán,Tucumán,AR-T,ARG-1305,3852.0
Austria,Carinthia,austria,carinthia,6,6,2.0999999999999996,2017-07-01,2019-07-01,genbank_nuccore,True,matched,carinthia,Kärnten,Carinthia,AT-2,AUT-2325,590.0
Austria,Lake Neusiedl,austria,lake neusiedl,2,2,0.7,2011-07-01,2017-07-01,genbank_nuccore,False,unmatched,,,,,,
Austria,Murau in Styria,austria,murau in styria,1,1,0.35,2007-07-01,2007-07-01,genbank_nuccore,False,unmatched,,,,,,
Austria,St. Lambrecht in Styria,austria,st lambrecht in styria,1,1,0.35,2007-07-01,2007-07-01,genbank_nuccore,False,unmatched,,,,,,
Austria,St. Marein in Styria,austria,st marein in styria,1,1,0.35,2007-07-01,2007-07-01,genbank_nuccore,False,unmatched,,,,,,
Austria,Styria,austria,styria,55,55,19.25,2012-07-01,2019-07-01,genbank_nuccore,True,matched,styria,Steiermark,Styria,AT-6,AUT-2323,789.0
Austria,Upper Austria,austria,upper austria,2,2,0.7,2019-07-01,2019-07-01,genbank_nuccore,True,matched,upper austria,Oberösterreich,Upper Austria,AT-4,AUT-2326,379.0
Belgium,Genappe,belgium,genappe,1,1,0.35,2013-12-15,2013-12-15,genbank_nuccore,False,unmatched,,,,,,
