location_id,country,lon,lat,x,y,row,col,records,count,evidence_weight,first_date,last_date
0,Argentina,-64.0,-34.0,-5710307.382931621,-4108337.847086079,13108.337847086079,12330.69261706838,4,4,4.0,1990-07-01,1998-07-01
1,Australia,146.48317,-18.61231,14201749.758872341,-2285760.180937116,11285.760180937115,32242.74975887234,3,3,3.0,2021-04-15,2021-04-15
2,Bolivia,-67.48,-15.46,-6610863.940875944,-1902643.1189693273,10902.643118969327,11430.136059124055,1,1,1.0,2011-06-15,2011-06-15
3,Brazil,-55.3852,-12.2988,-5471875.311088496,-1516203.0302960158,10516.203030296016,12569.124688911503,1,1,1.0,2016-06-15,2016-06-15
4,Brazil,-48.33,-1.86,-4842191.256106443,-229963.97436577268,9229.963974365774,13198.808743893558,1,1,1.0,2009-09-15,2009-09-15
5,Brazil,-48.08,-1.84,-4817177.215412449,-227491.5709680926,9227.491570968092,13223.822784587552,1,1,1.0,2009-10-15,2009-10-15
6,Cambodia,105.08,10.95,10412654.078778328,1350750.0759716877,7649.249924028312,28453.65407877833,2,2,2.0,2016-02-15,2018-06-15
7,Canada,-123.728,49.109,-9520081.598437164,5779848.7793665035,3220.1512206334965,8520.918401562836,1,1,1.0,2011-02-15,2011-02-15
8,Canada,-97.1,49.9,-7395430.635775115,5862995.819992258,3137.0041800077415,10645.569364224884,9,9,9.0,2023-07-01,2025-07-01
9,China,83.96,43.23,6910196.55089671,5147138.232344069,3852.8617676559315,24951.19655089671,1,1,1.0,2015-09-15,2015-09-15
10,China,98.71,27.21,9200399.540033042,3315587.4563706215,5684.412543629378,27241.399540033042,18,18,18.0,2012-08-15,2012-08-15
11,China,104.7,23.12,9963945.529147713,2828799.0410248134,6171.200958975187,28004.945529147713,1,1,1.0,2017-05-15,2017-05-15
12,China,110.0,21.34,10551003.574640723,2615110.3416309366,6384.889658369064,28592.003574640723,1,1,1.0,2017-04-15,2017-04-15
13,China,112.35,28.57,10390347.452234497,3476014.7492582956,5523.9852507417045,28431.3474522345,1,1,1.0,2017-03-15,2017-03-15
14,China,113.27,23.13,10779025.599277169,2829996.5822339994,6170.003417766,28820.02559927717,5,5,5.0,2014-05-15,2017-02-15
15,China,118.06,24.27,11174189.955178212,2966289.9675562335,6033.710032443767,29215.18995517821,1,1,1.0,2015-11-15,2015-11-15
16,China,119.94,47.18,9449743.527025888,5575039.542066683,3424.9604579333172,27490.743527025887,3,3,3.0,2003-04-15,2003-04-15
17,China,120.95,40.71,10204529.349407785,4868604.379466825,4131.395620533175,28245.529349407785,3,3,3.0,2018-08-15,2018-08-15
18,China,124.36,40.8,10483342.250821084,4878622.100046948,4121.377899953052,28524.342250821086,3,3,3.0,2003-05-15,2003-05-15
19,China,133.8,46.32,10648091.272659432,5482826.493814435,3517.173506185565,28689.091272659432,4,4,4.0,2020-06-15,2020-06-15
20,Czechia,17.33,49.54,1326093.183820057,5825215.502450531,3174.784497549468,19367.093183820056,1,1,1.0,2015-07-01,2015-07-01
